Year,marriage(country),divorce(country),marriage(city),divorce(city),marriage(village),divorce(village)
1358,302667,21170,173963,15445,128704,5725
1359,337119,23987,196029,19293,141090,4694
1360,294499,24423,183546,20449,110953,3974
1361,353944,31221,215077,25773,138867,5448
1362,410799,35867,259433,30808,151366,5059
1363,384876,35178,247253,29047,137623,6131
1364,408282,38983,263883,31869,144399,7114
1365,340342,35211,225011,29379,115331,5832
1366,346652,33433,225566,27588,121086,5845
1367,361945,33114,239095,26893,122850,6221
1368,458708,33943,295982,27626,162726,6317
1369,454963,37827,309438,30656,145525,7171
1370,448851,39336,311020,33210,137831,6126
1371,422457,33983,299725,28289,122732,5694
1372,463487,29312,332629,25469,130858,3843
1373,453671,32706,329687,28385,123984,4321
1374,462855,34738,340807,30277,122048,4461
1375,479263,37817,357138,32697,122125,5120
1376,511401,41816,387276,36459,124125,5357
1377,531490,42391,412565,37626,118925,4765
1378,611073,51044,476284,45274,134789,5770
1379,646498,53797,499143,47936,147355,5861
1380,640710,60559,495629,54603,145081,5956
1381,650960,67256,513772,61074,137188,6182
1382,681034,72359,522160,64213,158874,8146
1383,602347,63125,443466,54563,158881,8562
1384,787818,84241,558582,70023,229236,14218
1385,778023,94040,556658,78801,221365,15239
1386,841107,99852,…,…,…,…
1387,881592,110510,…,…,…,…
1388,890208,125747,…,…,…,…
1389,891627,137200,…,…,…,…
1390,874792,142841,…,…,…,…
1391,829968,150324,678870,136913,151098,13411
1392,774513,155369,664133,144083,110380,11286
1393,724324,163569,607389,149644,116935,13925
1394,685352,163765,562671,146714,122681,17051
1395,704716,181049,616042,168774,88674,12275
1396(2),608867,179709,542917,168359,65950,11350
1397(2),550565,175614,486661,164124,63904,11490
1398,533174,176814,470687,164657,62487,12157
1399,556731,183193,490438,170688,66293,12505
